従来手法の総ピクセル数,提案手法の総ピクセル数,従来手法の総ピクセル数-提案手法の総ピクセル数
14321,8801,5520
18366,11435,6931
21609,14115,7494
23708,15273,8435
27237,17480,9757
30241,18754,11487
32710,19472,13238
34147,20113,14034
37082,19871,17211
38461,20031,18430
41243,20943,20300
41670,20866,20804
40661,19938,20723
34636,18147,16489
30469,16323,14146
28132,14899,13233
27266,14602,12664
24737,13661,11076
23663,12930,10733
22973,12488,10485
23052,12580,10472
22726,12256,10470
22871,12341,10530
22701,12217,10484
22533,11885,10648
21962,11598,10364
22079,11850,10229
21975,11914,10061
22219,12132,10087
21827,12066,9761
21809,12267,9542
21514,12284,9230
21753,12447,9306
21604,12381,9223
24984,14593,10391
26923,15197,11726
28315,15569,12746
29221,15590,13631
31217,16173,15044
30493,15804,14689
31339,16032,15307
31107,16079,15028
31544,15990,15554
30963,15639,15324
31546,16079,15467
30910,15608,15302
31468,15993,15475
35279,16529,18750
37358,16959,20399
39646,17086,22560
40417,17492,22925
39937,17317,22620
40479,17590,22889
39896,17252,22644
40763,17609,23154
39735,17039,22696
40770,17545,23225
40597,17219,23378
42251,17138,25113
42341,17486,24855
43009,17944,25065
42832,18178,24654
45148,19459,25689
46679,18949,27730
49863,21416,28447
45614,18661,26953
39832,17045,22787
31248,15100,16148
27293,15444,11849
24034,14999,9035
22655,14109,8546
19718,12709,7009
17754,12062,5692
16857,11935,4922
16751,12275,4476
15315,12023,3292
14998,11417,3581
15915,12124,3791
16532,12570,3962
16334,12388,3946
20109,15367,4742
23694,18288,5406
26299,20613,5686
27136,21915,5221
26615,20975,5640
24458,17989,6469
24852,17262,7590
17721,12500,5221
17688,12930,4758
13785,11045,2740
7989,5392,2597
8041,4404,3637
9655,5603,4052
6737,6203,534
7363,6778,585
6541,6077,464
6856,6402,454
6629,6129,500
6852,6377,475
6307,5918,389
7136,6611,525
6546,6105,441
6450,5812,638
5792,5235,557
6484,5961,523
5758,5251,507
6314,5761,553
5922,5321,601
6442,5655,787
6338,5423,915
7173,5961,1212
6768,5473,1295
7373,6015,1358
7124,5821,1303
8492,6719,1773
8348,6406,1942
10732,7316,3416
12248,8477,3771
14460,10156,4304
17272,11408,5864
19923,14516,5407
20433,15356,5077
23047,18588,4459
23047,19732,3315
23495,20280,3215
24117,21412,2705
25810,23323,2487
25418,22984,2434
26793,24654,2139
26626,24263,2363
26829,24526,2303
27304,25001,2303
28288,25865,2423
28718,26318,2400
30347,28062,2285
30374,27733,2641
28842,26074,2768
26206,23226,2980
27123,23397,3726
26631,22739,3892
25222,20305,4917
23122,17034,6088
24188,16627,7561
23859,16341,7518
23989,16500,7489
23691,16305,7386
24002,16658,7344
23634,16280,7354
23728,16435,7293
23144,16188,6956
23608,15786,7822
23666,15880,7786
23922,15993,7929
23271,15427,7844
23639,15733,7906
23324,15600,7724
23794,16021,7773
23850,15998,7852
24153,16322,7831
23809,16025,7784
24182,16291,7891
23917,16089,7828
23632,16032,7600
23513,15826,7687
24123,16393,7730
23727,16013,7714
24021,16083,7938
23777,16019,7758
24220,16437,7783
24077,16364,7713
24115,16399,7716
23911,16352,7559
24160,16408,7752
23806,16064,7742
24397,16313,8084
24155,16204,7951
24511,16432,8079
24209,16388,7821
24399,16401,7998
24083,16051,8032
24304,16328,7976
24258,16245,8013
24449,16488,7961
24127,16187,7940
24324,16385,7939
24071,16110,7961
23792,15997,7795
23632,15809,7823
24082,16407,7675
23663,16074,7589
23802,16246,7556
23339,15649,7690
23785,16244,7541
23649,16020,7629
24372,16739,7633
23919,16344,7575
24121,16555,7566
23847,16348,7499
24383,16365,8018
24321,16431,7890
24602,16800,7802
24843,18560,6283
25587,19236,6351
26093,20408,5685
27145,22310,4835
27394,22722,4672
27059,22617,4442
28732,24327,4405
30635,26176,4459
32224,27615,4609
32529,28105,4424
31690,27135,4555
29575,24426,5149
26076,20385,5691
24729,18501,6228
18905,14681,4224
15513,11211,4302
13911,9764,4147
11280,7899,3381
9424,7409,2015
9564,7591,1973
9027,7251,1776
8463,6789,1674
7743,6236,1507
7891,6568,1323
6952,5864,1088
7228,6117,1111
6682,5804,878
7030,6091,939
6689,5834,855
7331,6411,920
6558,5672,886
6877,5943,934
6754,5843,911
8216,7227,989
8647,7114,1533
10465,3939,6526
7507,4072,3435
9598,6967,2631
10953,8631,2322
14919,10876,4043
14743,10552,4191
16662,14033,2629
18748,16171,2577
19212,15992,3220
15324,11970,3354
16966,12701,4265
15272,11491,3781
14652,11290,3362
11998,9329,2669
12774,9894,2880
11812,9086,2726
12346,9174,3172
11684,8416,3268
13344,9191,4153
13054,9214,3840
14339,9890,4449
14901,9888,5013
16122,10940,5182
15834,10805,5029
17184,11390,5794
20084,12858,7226
21723,13284,8439
24045,14088,9957
27499,16343,11156
27662,16946,10716
29612,19100,10512
30820,20326,10494
31881,20358,11523
33552,20866,12686
36529,20935,15594
37220,19857,17363
41947,19300,22647
43932,17402,26530
44572,16984,27588
39605,16080,23525
35123,16011,19112
33491,15618,17873
32906,15445,17461
31331,14946,16385
31720,15178,16542
30910,15082,15828
30163,14943,15220
29549,14744,14805
29206,14291,14915
28062,13834,14228
28220,13895,14325
27491,13114,14377
27746,13535,14211
27298,13319,13979
27847,13430,14417
27348,13201,14147
27920,13532,14388
27459,12826,14633
27638,12601,15037
27139,12320,14819
27571,12398,15173
26908,11993,14915
27074,12070,15004
26506,11518,14988
26883,11748,15135
26259,11465,14794
26936,11854,15082
26349,11563,14786
26628,11799,14829
24711,10417,14294
22640,9982,12658
21872,9742,12130
21559,9873,11686
20633,9331,11302
20976,9721,11255
20424,9179,11245
20863,9587,11276
20148,9056,11092
20378,9167,11211
19852,8807,11045
20440,9267,11173
20371,9088,11283
20947,9616,11331
20913,9577,11336
21443,10040,11403
20508,9399,11109
20727,9497,11230
20153,9067,11086
21126,9964,11162
20348,9350,10998
20818,9683,11135
20111,9482,10629
20823,10154,10669
24315,10707,13608
36470,17340,19130
32849,17849,15000
27784,17434,10350
23310,15586,7724
23179,15922,7257
20042,14225,5817
19134,13470,5664
17726,12909,4817
17420,13592,3828
16267,12532,3735
16952,14059,2893
15836,13483,2353
16288,14280,2008
16182,14022,2160
20235,15804,4431
20674,15139,5535
24128,16460,7668
20609,12684,7925
18351,10356,7995
13549,6794,6755
11180,5706,5474
6869,3617,3252
5903,2829,3074
2505,1143,1362
2033,736,1297
1691,468,1223
1781,604,1177
1364,332,1032
1693,615,1078
1450,497,953
1516,563,953
1197,433,764
1469,699,770
1085,568,517
865,631,234
368,322,46
387,387,0
454,454,0
737,726,11
447,446,1
688,682,6
540,540,0
715,700,15
670,666,4
734,727,7
408,396,12
564,558,6
457,435,22
523,384,139
608,473,135
689,515,174
843,467,376
1135,699,436
1339,682,657
3087,1424,1663
3884,1835,2049
6771,4388,2383
10139,6412,3727
12223,8216,4007
14730,11440,3290
17188,14678,2510
18494,16625,1869
19007,17376,1631
20301,18836,1465
21020,19625,1395
21936,20534,1402
22752,21383,1369
23188,21769,1419
24281,22806,1475
25111,23524,1587
26043,24406,1637
26293,24464,1829
21984,19990,1994
20824,18753,2071
19313,16935,2378
18939,16408,2531
19067,16512,2555
19028,16503,2525
19134,16536,2598
18779,16213,2566
18716,16053,2663
18326,15711,2615
18304,15674,2630
18000,15393,2607
17923,15331,2592
18016,15389,2627
18044,15412,2632
17898,15307,2591
17993,15387,2606
17617,14985,2632
17852,15213,2639
17583,14945,2638
17731,15086,2645
17545,14924,2621
17632,15005,2627
17372,14790,2582
17173,14539,2634
16961,14376,2585
17245,14669,2576
17135,14532,2603
17341,14664,2677
17130,14525,2605
17316,14613,2703
16881,14207,2674
16906,14261,2645
16757,14047,2710
16721,14017,2704
16544,13946,2598
16830,14095,2735
16528,13883,2645
16742,14125,2617
16559,13867,2692
16565,13836,2729
16370,13697,2673
16518,13710,2808
16287,13546,2741
16412,13650,2762
16167,13386,2781
16334,13529,2805
16054,13351,2703
15998,13228,2770
15873,13122,2751
15893,13140,2753
15873,13100,2773
16130,13327,2803
15721,12961,2760
15972,13111,2861
15716,12883,2833
15973,13150,2823
15793,12974,2819
15789,12913,2876
15806,12990,2816
15729,12940,2789
15447,12635,2812
15552,12717,2835
15606,12779,2827
15647,12802,2845
15314,12487,2827
15509,12639,2870
15194,12324,2870
15328,12511,2817
15311,12523,2788
15538,12656,2882
15219,12443,2776
15202,12390,2812
14958,12102,2856
15380,12512,2868
15116,12253,2863
15230,12283,2947
15089,12249,2840
15367,12507,2860
15130,12304,2826
15012,12187,2825
15017,12229,2788
15040,12124,2916
14942,12108,2834
14848,12008,2840
14936,12083,2853
14864,12028,2836
14762,11984,2778
14930,12077,2853
14665,11869,2796
14866,12080,2786
14679,11896,2783
14728,11937,2791
14561,11825,2736
14785,11943,2842
14713,11899,2814
14812,12052,2760
14596,11893,2703
14700,11968,2732
14690,11980,2710
14882,12124,2758
14817,12103,2714
15107,12393,2714
14903,12165,2738
15075,12285,2790
15017,12249,2768
15299,12505,2794
15090,12338,2752
15203,12388,2815
15178,12385,2793
15155,12291,2864
15187,12373,2814
15288,12544,2744
15041,12296,2745
15410,12681,2729
15265,12570,2695
15394,12676,2718
15366,12703,2663
15550,12851,2699
15278,12570,2708
15943,13153,2790
15644,12891,2753
15854,13078,2776
15662,12924,2738
15872,13091,2781
15543,12786,2757
15865,13082,2783
15759,12976,2783
15843,13056,2787
15727,12954,2773
15869,13069,2800
15612,12871,2741
15672,12841,2831
15459,12667,2792
15731,12900,2831
15612,12806,2806
15744,12907,2837
15638,12815,2823
15846,13011,2835
15767,12999,2768
15855,13050,2805
15997,13229,2768
16252,13471,2781
16059,13317,2742
16202,13429,2773
16124,13424,2700
16321,13592,2729
16209,13468,2741
16334,13558,2776
16241,13526,2715
16665,13887,2778
16776,14022,2754
17053,14302,2751
16801,14095,2706
17133,14436,2697
17022,14349,2673
17709,15061,2648
17801,15182,2619
18040,15467,2573
18248,15702,2546
18791,16274,2517
18352,15904,2448
18834,16343,2491
19063,16557,2506
18819,16349,2470
19093,16658,2435
19401,16811,2590
19148,16644,2504
19757,17111,2646
19411,16655,2756
19390,16544,2846
19201,16353,2848
19206,16234,2972
19119,16143,2976
19592,16332,3260
18942,15513,3429
18940,15505,3435
18802,15311,3491
18884,15403,3481
18679,15193,3486
19465,15968,3497
19170,15725,3445
19438,15926,3512
18932,15564,3368
19140,15676,3464
19151,15728,3423
19768,16250,3518
19333,15886,3447
19377,15888,3489
19606,16175,3431
19642,16149,3493
19373,15896,3477
20384,16815,3569
19649,16090,3559
19658,16070,3588
19374,15901,3473
19937,16375,3562
19731,16135,3596
20103,16539,3564
19687,16109,3578
19808,16201,3607
19736,16229,3507
19936,16321,3615
19673,16051,3622
19889,16294,3595
19668,16088,3580
19638,16009,3629
19730,16209,3521
19859,16238,3621
19793,16173,3620
20269,16651,3618
19778,16215,3563
19763,16132,3631
19803,16285,3518
19757,16119,3638
19509,15903,3606
20030,16457,3573
19733,16228,3505
19528,15981,3547
19472,16030,3442
20004,16467,3537
19556,16120,3436
20341,16789,3552
20289,16721,3568
20186,16659,3527
20706,17275,3431
21331,17904,3427
21515,18114,3401
22988,19576,3412
22992,19778,3214
22968,19747,3221
23424,20513,2911
23591,20749,2842
23385,20560,2825
23590,20718,2872
22221,19278,2943
21768,18824,2944
21521,18589,2932
21730,18752,2978
21537,18561,2976
21478,18398,3080
21374,18309,3065
21489,18417,3072
21381,18304,3077
21636,18572,3064
21313,18283,3030
21575,18518,3057
21229,18175,3054
21585,18503,3082
21376,18305,3071
21266,18229,3037
21077,18005,3072
21444,18372,3072
21326,18261,3065
21242,18224,3018
21259,18261,2998
21203,18153,3050
20818,17795,3023
21407,18345,3062
21062,18029,3033
21117,18071,3046
21098,18074,3024
21455,18399,3056
21085,18037,3048
21538,18487,3051
21442,18467,2975
21422,18412,3010
21545,18539,3006
22035,19010,3025
21816,18830,2986
21898,18879,3019
22147,19157,2990
22202,19234,2968
22250,19349,2901
23163,20310,2853
22916,20162,2754
22887,20110,2777
22713,20008,2705
22772,20121,2651
22699,20054,2645
23537,20874,2663
23443,20814,2629
23199,20629,2570
22753,20221,2532
22827,20311,2516
22192,19620,2572
22438,19836,2602
22079,19481,2598
21965,19301,2664
21970,19344,2626
22085,19400,2685
21886,19231,2655
22160,19414,2746
22081,19365,2716
22163,19468,2695
22005,19283,2722
21947,19179,2768
21756,19045,2711
22187,19376,2811
21946,19148,2798
21711,18995,2716
21660,18953,2707
21803,19076,2727
21402,18679,2723
22012,19263,2749
21701,18982,2719
21869,19158,2711
22099,19359,2740
22180,19440,2740
21664,18959,2705
22369,19598,2771
22159,19407,2752
21795,19030,2765
21646,18939,2707
21932,19178,2754
21635,18919,2716
22273,19492,2781
21994,19243,2751
22141,19363,2778
22038,19249,2789
22097,19277,2820
21659,18851,2808
22191,19370,2821
22013,19228,2785
21816,19031,2785
21953,19240,2713
22285,19541,2744
21608,18878,2730
22318,19581,2737
21924,19181,2743
22369,19611,2758
22076,19334,2742
22563,19767,2796
21997,19202,2795
22384,19618,2766
22241,19475,2766
21655,18795,2860
22083,19272,2811
22161,19324,2837
21524,18739,2785
21772,18940,2832
21677,18856,2821
21799,18944,2855
21507,18688,2819
21704,18842,2862
21528,18668,2860
21759,18920,2839
21663,18869,2794
21203,18346,2857
21569,18806,2763
21616,18766,2850
21261,18390,2871
21339,18533,2806
21455,18660,2795
21319,18477,2842
21106,18320,2786
21227,18424,2803
20640,17816,2824
21049,18256,2793
20742,17942,2800
20544,17734,2810
20807,18072,2735
20866,18114,2752
20420,17670,2750
20832,18114,2718
20625,17911,2714
20403,17634,2769
20541,17809,2732
20772,18019,2753
20424,17614,2810
20697,17930,2767
20656,17900,2756
20230,17330,2900
20703,17920,2783
20784,17973,2811
20353,17546,2807
20634,17796,2838
20579,17771,2808
20539,17660,2879
20491,17693,2798
20716,17889,2827
20370,17480,2890
20511,17659,2852
20329,17525,2804
19958,17114,2844
20393,17570,2823
20353,17523,2830
20112,17256,2856
20617,17761,2856
20442,17635,2807
20536,17618,2918
20512,17654,2858
20686,17826,2860
20439,17615,2824
20795,17915,2880
20765,17957,2808
20273,17517,2756
20584,17828,2756
20860,18070,2790
20502,17738,2764
20518,17735,2783
20563,17805,2758
20757,17978,2779
20496,17750,2746
20857,18106,2751
20930,18234,2696
21565,18905,2660
21613,18940,2673
21057,18563,2494
21123,18721,2402
21471,18984,2487
21224,18721,2503
21599,19068,2531
21339,18846,2493
21257,18810,2447
21229,18778,2451
21480,19056,2424
21048,18692,2356
21391,19068,2323
21296,18991,2305
20950,18592,2358
20757,18274,2483
20726,18150,2576
20545,18019,2526
20913,18248,2665
21005,18334,2671
21115,18389,2726
20816,18081,2735
21287,18514,2773
21162,18416,2746
21381,18641,2740
21262,18508,2754
21169,18396,2773
21077,18338,2739
21415,18675,2740
21168,18414,2754
21530,18748,2782
21310,18569,2741
21568,18828,2740
21259,18557,2702
21396,18654,2742
21344,18612,2732
21366,18645,2721
21170,18436,2734
21652,18969,2683
21319,18617,2702
21535,18800,2735
21342,18643,2699
21656,18952,2704
21559,18870,2689
21431,18712,2719
21160,18471,2689
21599,18893,2706
21231,18533,2698
21579,18866,2713
21254,18577,2677
21641,18929,2712
21216,18490,2726
21755,19031,2724
21694,18975,2719
21515,18786,2729
21471,18753,2718
21555,18803,2752
21113,18373,2740
21691,18949,2742
21452,18723,2729
21417,18693,2724
21147,18446,2701
21441,18728,2713
21025,18313,2712
21275,18591,2684
21235,18543,2692
21391,18687,2704
21168,18466,2702
21391,18679,2712
21137,18417,2720
21510,18823,2687
21400,18707,2693
21432,18733,2699
21060,18410,2650
21432,18746,2686
20971,18413,2558
21325,18767,2558
21400,18894,2506
21375,18847,2528
21277,18810,2467
21400,18860,2540
21118,18561,2557
21456,18958,2498
21268,18765,2503
21452,18875,2577
21357,18874,2483
21243,18732,2511
20893,18301,2592
21408,18885,2523
21273,18636,2637
21685,18930,2755
21655,19036,2619
21679,18957,2722
21426,18698,2728
21705,18990,2715
21523,18865,2658
21509,18807,2702
21250,18600,2650
21806,19086,2720
21202,18469,2733
21416,18698,2718
21381,18737,2644
21247,18576,2671
21029,18520,2509
21290,18794,2496
21174,18600,2574
21436,18905,2531
21592,19129,2463
21650,19146,2504
21752,19341,2411
22697,20386,2311
22641,20573,2068
23731,21674,2057
24432,22583,1849
24430,22668,1762
23947,22371,1576
22708,21176,1532
20056,18529,1527
19195,17525,1670
16093,13847,2246
12705,9011,3694
9289,6018,3271
4724,3132,1592
2861,1640,1221
2165,1136,1029
448,443,5
497,487,10
346,346,0
619,619,0
453,453,0
667,667,0
540,540,0
734,721,13
455,455,0
267,267,0
218,218,0
354,353,1
204,203,1
324,324,0
261,261,0
738,738,0
388,388,0
613,613,0
339,339,0
435,435,0
398,398,0
379,379,0
268,268,0
456,456,0
244,244,0
364,364,0
226,226,0
459,459,0
297,297,0
560,560,0
437,437,0
618,618,0
415,413,2
237,237,0
221,221,0
273,273,0
242,242,0
407,406,1
358,358,0
523,523,0
295,295,0
497,497,0
250,250,0
367,367,0
246,246,0
345,345,0
247,247,0
340,340,0
247,247,0
486,484,2
439,431,8
631,622,9
543,543,0
817,816,1
480,480,0
465,465,0
324,324,0
602,598,4
534,534,0
841,839,2
602,596,6
650,650,0
461,461,0
773,773,0
527,527,0
553,553,0
461,461,0
629,624,5
425,425,0
472,472,0
251,251,0
287,287,0
173,173,0
253,253,0
179,179,0
312,312,0
260,260,0
375,375,0
387,387,0
460,459,1
475,473,2
472,472,0
298,298,0
430,430,0
282,282,0
370,370,0
328,328,0
411,410,1
228,228,0
356,356,0
271,271,0
292,289,3
191,191,0
469,469,0
458,458,0
679,673,6
450,450,0
539,539,0
350,350,0
