従来手法の総ピクセル数,提案手法の総ピクセル数,従来手法の総ピクセル数-提案手法の総ピクセル数
26516,25250,1266
26522,25213,1309
26476,25152,1324
26556,25253,1303
26505,25199,1306
26589,25237,1352
26507,25204,1303
26501,25185,1316
26516,25171,1345
26516,25194,1322
26452,25140,1312
26576,25209,1367
26510,25158,1352
26446,25126,1320
26481,25119,1362
26517,25169,1348
26475,25160,1315
26555,25201,1354
26542,25200,1342
26501,25164,1337
26529,25171,1358
26568,25205,1363
26491,25149,1342
26603,25259,1344
26518,25187,1331
26438,25111,1327
26476,25139,1337
26491,25156,1335
26444,25137,1307
26589,25246,1343
26514,25197,1317
26507,25187,1320
26523,25179,1344
26525,25196,1329
26498,25183,1315
26611,25268,1343
26545,25209,1336
26582,25250,1332
26586,25249,1337
26611,25244,1367
26522,25124,1398
26662,25243,1419
26618,25220,1398
26562,25177,1385
26626,25227,1399
26654,25246,1408
26598,25193,1405
26701,25343,1358
26695,25322,1373
26689,25330,1359
26674,25318,1356
26674,25322,1352
26627,25285,1342
26729,25381,1348
26663,25321,1342
26625,25284,1341
26644,25302,1342
26676,25330,1346
26629,25305,1324
26708,25326,1382
26717,25341,1376
26707,25345,1362
26725,25361,1364
26771,25391,1380
26660,25303,1357
26747,25375,1372
26721,25342,1379
26688,25315,1373
26695,25318,1377
26717,25336,1381
26663,25294,1369
26724,25359,1365
26708,25371,1337
26712,25355,1357
26707,25357,1350
26835,25461,1374
26664,25324,1340
26818,25483,1335
26836,25487,1349
26790,25440,1350
26744,25428,1316
26880,25551,1329
26788,25454,1334
26871,25501,1370
26861,25480,1381
26848,25456,1392
26781,25404,1377
26917,25557,1360
26736,25388,1348
26751,25379,1372
26783,25394,1389
26673,25272,1401
26563,25190,1373
26669,25283,1386
26521,25170,1351
26580,25247,1333
26558,25225,1333
26510,25177,1333
26506,25184,1322
26588,25268,1320
26509,25170,1339
26611,25263,1348
26651,25291,1360
26715,25350,1365
26696,25334,1362
26764,25411,1353
26736,25369,1367
26670,25320,1350
26725,25348,1377
26718,25351,1367
26674,25303,1371
26744,25341,1403
26660,25282,1378
26777,25383,1394
26800,25399,1401
26835,25448,1387
26761,25388,1373
26880,25507,1373
26838,25475,1363
26818,25412,1406
26851,25463,1388
26866,25468,1398
26798,25392,1406
26846,25453,1393
26847,25476,1371
26862,25493,1369
26823,25441,1382
26810,25452,1358
26795,25436,1359
26845,25485,1360
26786,25438,1348
26887,25525,1362
26901,25530,1371
26928,25581,1347
26862,25507,1355
26935,25561,1374
26844,25495,1349
26884,25511,1373
26863,25500,1363
26866,25514,1352
26772,25426,1346
26892,25515,1377
26783,25431,1352
26875,25496,1379
26881,25496,1385
26857,25479,1378
26853,25476,1377
26890,25503,1387
26846,25466,1380
26912,25522,1390
26884,25477,1407
26893,25497,1396
26906,25516,1390
26947,25543,1404
26895,25496,1399
26910,25540,1370
26910,25529,1381
26966,25604,1362
26890,25530,1360
26973,25595,1378
26916,25554,1362
26910,25560,1350
26896,25526,1370
26887,25545,1342
26872,25527,1345
26943,25584,1359
26894,25540,1354
26901,25504,1397
26887,25488,1399
26913,25532,1381
26882,25503,1379
26961,25559,1402
26896,25522,1374
26909,25538,1371
26955,25566,1389
26940,25557,1383
26935,25551,1384
26959,25570,1389
26902,25520,1382
26909,25496,1413
26904,25485,1419
26900,25484,1416
26864,25466,1398
26979,25575,1404
26904,25507,1397
26913,25527,1386
26899,25511,1388
26913,25521,1392
26888,25514,1374
26994,25601,1393
26955,25570,1385
26961,25563,1398
26929,25541,1388
26944,25564,1380
26868,25486,1382
26938,25536,1402
26917,25525,1392
26870,25480,1390
26946,25541,1405
26940,25535,1405
26888,25491,1397
26980,25587,1393
26926,25542,1384
26948,25590,1358
26991,25637,1354
26964,25593,1371
26936,25564,1372
27056,25674,1382
26986,25597,1389
26919,25528,1391
26880,25511,1369
26920,25536,1384
26753,25378,1375
26878,25517,1361
26568,25242,1326
25881,24515,1366
25596,24285,1311
25184,23893,1291
24511,23228,1283
24405,23141,1264
24186,22987,1199
24156,22929,1227
24127,22869,1258
24237,22980,1257
24058,22805,1253
24096,22835,1261
24157,22899,1258
23971,22738,1233
23921,22678,1243
24088,22830,1258
23958,22702,1256
24013,22756,1257
24040,22785,1255
23982,22741,1241
23978,22724,1254
24125,22845,1280
24017,22744,1273
24020,22756,1264
24066,22803,1263
24018,22746,1272
24043,22779,1264
24122,22870,1252
23946,22694,1252
24007,22746,1261
24053,22779,1274
24135,22862,1273
24110,22807,1303
24317,22996,1321
24165,22851,1314
24223,22924,1299
24311,22985,1326
24243,22967,1276
24218,22932,1286
24582,23295,1287
24311,23033,1278
24345,23048,1297
24260,23001,1259
24355,23079,1276
24282,22985,1297
24348,23062,1286
24144,22879,1265
24238,22951,1287
24366,23071,1295
24493,23221,1272
24384,23114,1270
24417,23144,1273
24285,23013,1272
24380,23112,1268
24372,23110,1262
24243,22996,1247
24184,22927,1257
24246,22996,1250
24118,22869,1249
24215,22963,1252
24143,22892,1251
24182,22933,1249
24150,22912,1238
24331,23069,1262
24133,22906,1227
24211,22976,1235
24220,22957,1263
24259,23010,1249
24264,22997,1267
24360,23081,1279
24248,22991,1257
24264,23012,1252
24260,23001,1259
24108,22895,1213
